subcategory,time_bin,time_bin_order,n_trades,slope_b,intercept_a,slope_stderr
Biden Admin,0-1h,1,355,4.4843,1.8911,0.529664
Biden Admin,1-3h,2,3643,-0.1359,2.2904,0.002071
Biden Admin,3-6h,3,1278,1.4605,5.3317,0.021997
Biden Admin,6-12h,4,2464,1.3426,2.5532,0.007243
Biden Admin,12-24h,5,8041,1.4321,1.6748,0.00426
Biden Admin,24-48h,6,5665,4.1734,5.4763,0.017569
Biden Admin,2d-1w,7,11420,4.571,7.7544,0.008607
Biden Admin,1w-1mo,8,22758,4.665,9.0966,0.004921
Biden Admin,1mo+,9,11380,5.8143,8.2322,0.011252
Electoral College,0-1h,1,5443,1.6195,0.6597,0.002004
Electoral College,1-3h,2,7560,1.8071,-0.1015,0.002086
Electoral College,3-6h,3,6605,2.4165,0.0226,0.003691
Electoral College,6-12h,4,4236,1.7024,0.5619,0.003784
Electoral College,12-24h,5,12162,2.0004,0.4677,0.002142
Electoral College,24-48h,6,13648,1.9545,0.1476,0.002097
Electoral College,2d-1w,7,62997,1.8204,0.1646,0.000864
Electoral College,1w-1mo,8,210361,2.8692,0.1439,0.000841
Electoral College,1mo+,9,479815,1.5258,0.3032,0.000232
Government,12-24h,5,18242,8.057,-7.6049,0.055931
Government,24-48h,6,23758,6.5691,-0.7009,0.013853
Government,2d-1w,7,123555,2.9547,-2.0073,0.001683
Government,1w-1mo,8,171341,3.8139,0.0708,0.002112
Government,1mo+,9,64836,1.1713,2.1881,0.001221
Governor,1-3h,2,758,1.4375,0.2372,0.009694
Governor,3-6h,3,354,1.1857,0.1173,0.015685
Governor,6-12h,4,606,2.8012,0.6704,0.033622
Governor,12-24h,5,1043,2.1239,0.1375,0.017083
Governor,24-48h,6,2301,1.9017,0.1771,0.008276
Governor,2d-1w,7,16473,3.9926,-1.5628,0.006443
Governor,1w-1mo,8,13728,3.6099,-1.149,0.004422
Governor,1mo+,9,20024,4.0177,-0.3053,0.005417
House,0-1h,1,247,0.3048,-0.7969,0.010616
House,1-3h,2,1006,0.5667,-1.1047,0.006784
House,3-6h,3,1789,0.1831,-0.8581,0.006931
House,6-12h,4,599,1.0133,-0.0495,0.008981
House,12-24h,5,875,1.0247,0.5908,0.005011
House,24-48h,6,1963,2.4304,2.607,0.015088
House,2d-1w,7,662,1.8643,1.1682,0.016437
House,1w-1mo,8,3532,3.7375,-0.7539,0.027867
House,1mo+,9,68114,0.7436,0.1449,0.000373
NYC Mayor,12-24h,5,10198,1.415,-0.5612,0.004878
NYC Mayor,24-48h,6,3786,1.1153,-0.1118,0.008219
NYC Mayor,2d-1w,7,48197,3.1829,-0.0676,0.002283
NYC Mayor,1w-1mo,8,51398,1.3395,0.2328,0.000394
NYC Mayor,1mo+,9,42026,1.9545,0.2225,0.000655
Other Elections,0-1h,1,1428,0.5466,1.0058,0.002699
Other Elections,1-3h,2,3865,0.1751,0.4257,0.001494
Other Elections,3-6h,3,4117,0.8642,-0.4669,0.001997
Other Elections,6-12h,4,3182,2.8568,-4.0828,0.010267
Other Elections,12-24h,5,4365,1.2558,-0.3691,0.002333
Other Elections,24-48h,6,10918,1.2312,-0.7589,0.001431
Other Elections,2d-1w,7,32474,1.1627,-0.2592,0.000931
Other Elections,1w-1mo,8,75346,1.4093,-0.0225,0.000847
Other Elections,1mo+,9,12812,1.6482,-0.2447,0.003187
Other Politics,0-1h,1,2094,1.4209,-0.0582,0.005087
Other Politics,1-3h,2,5932,2.1694,0.5341,0.005749
Other Politics,3-6h,3,4484,1.7478,0.7308,0.005622
Other Politics,6-12h,4,8700,1.7589,-0.0989,0.002149
Other Politics,12-24h,5,42048,1.5008,-0.6206,0.000936
Other Politics,24-48h,6,22323,1.7844,-0.815,0.001666
Other Politics,2d-1w,7,48634,1.4415,0.2917,0.001086
Other Politics,1w-1mo,8,81763,1.6007,0.4173,0.000946
Other Politics,1mo+,9,111126,2.3812,1.1272,0.001012
Presidential,0-1h,1,3146,0.6216,-0.015,0.0044
Presidential,1-3h,2,14439,1.0403,-0.7047,0.003268
Presidential,3-6h,3,17271,1.1115,-0.4479,0.003102
Presidential,6-12h,4,12977,2.6525,-0.2332,0.004845
Presidential,12-24h,5,10497,0.834,-0.0735,0.001772
Presidential,24-48h,6,14270,-0.0043,0.2206,0.001576
Presidential,2d-1w,7,37433,0.657,0.1571,0.001112
Presidential,1w-1mo,8,36222,0.4107,-0.1555,0.000798
Presidential,1mo+,9,671084,7.2358,0.1503,0.000689
Trump Admin,0-1h,1,11788,1.6418,-0.0577,0.00265
Trump Admin,1-3h,2,64122,1.0784,0.2937,0.001048
Trump Admin,3-6h,3,72972,1.1292,0.0236,0.001231
Trump Admin,6-12h,4,66415,1.0919,0.1003,0.001233
Trump Admin,12-24h,5,122462,1.0707,-0.4765,0.000939
Trump Admin,24-48h,6,50489,1.1651,0.1158,0.001332
Trump Admin,2d-1w,7,81962,1.4023,0.1377,0.001364
Trump Admin,1w-1mo,8,75753,1.5731,0.5415,0.001361
Trump Admin,1mo+,9,66779,0.5421,-1.0879,0.000726
